Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.23,03:19:00,39.5470,26.0380,6.1,-.-,1.6,-.-,GULPINAR,ACIKLARI-CANAKKALE,(EGE,DENIZI),Ýlksel
2023.06.23,03:11:16,37.4188,37.0895,4.0,-.-,1.6,-.-,DENIZLI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.23,03:07:54,38.7295,35.2813,5.6,-.-,1.6,-.-,SARAYCIK-INCESU,(KAYSERI),Ýlksel
2023.06.23,02:43:01,38.9090,26.8450,10.7,-.-,1.7,-.-,CANDARLI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.23,02:38:55,38.1707,27.5128,9.5,-.-,1.4,-.-,ARIKBASI-BAYINDIR,(IZMIR),Ýlksel
2023.06.23,02:32:43,38.6538,35.3645,10.3,-.-,1.9,-.-,SAKARCIFTLIGI-HACILAR,(KAYSERI),Ýlksel
2023.06.23,02:25:20,38.1602,27.5020,9.9,-.-,1.2,-.-,ARIKBASI-BAYINDIR,(IZMIR),Ýlksel
2023.06.23,02:21:00,37.9543,36.2228,16.4,-.-,1.4,-.-,KALEBOYNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,02:19:22,36.2530,36.0067,5.4,-.-,2.8,-.-,SELDIREN-SAMANDAG,(HATAY),Ýlksel
2023.06.23,02:16:14,38.1893,27.5127,16.5,-.-,1.2,-.-,CIFTCIGEDIGI-BAYINDIR,(IZMIR),Ýlksel
2023.06.23,02:14:53,38.1945,37.8322,7.4,-.-,2.3,-.-,POLAT-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.23,02:10:57,37.8298,26.7840,6.7,-.-,1.7,-.-,EGE,DENIZI,Ýlksel
2023.06.23,02:00:49,39.4733,33.1915,8.2,-.-,2.0,-.-,CATALOREN-BALA,(ANKARA),Ýlksel
2023.06.23,02:00:43,36.2367,36.4425,8.3,-.-,3.1,-.-,KONUK-REYHANLI,(HATAY),Ýlksel
2023.06.23,01:43:10,36.9762,29.3252,6.1,-.-,1.7,-.-,SOFULAR-CAMELI,(DENIZLI),Ýlksel
2023.06.23,01:42:05,38.2842,38.6383,8.4,-.-,2.7,-.-,PELITLI-(MALATYA),Ýlksel
2023.06.23,01:37:28,38.1628,38.2545,19.6,-.-,1.6,-.-,ALTINTAS-CELIKHAN,(ADIYAMAN),Ýlksel
2023.06.23,01:21:54,35.1878,36.5632,18.8,-.-,3.4,-.-,SURIYE,Ýlksel
2023.06.23,01:15:34,38.3958,37.4283,1.4,-.-,1.6,-.-,YALINTAS-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.23,01:08:26,38.4518,38.0400,4.1,-.-,1.8,-.-,YUKARIORUKCU-AKCADAG,(MALATYA),Ýlksel
2023.06.23,00:20:29,37.9278,36.2655,15.6,-.-,1.9,-.-,HACIKODAL-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,23:56:01,37.9762,36.3212,8.8,-.-,2.0,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,22:59:40,37.9825,36.2548,13.8,-.-,1.7,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,22:52:29,36.3467,29.2003,20.4,-.-,1.8,-.-,DODURGA-FETHIYE,(MUGLA),Ýlksel
2023.06.22,22:46:34,37.6182,35.4477,3.2,-.-,2.2,-.-,DARILIK-ALADAG,(ADANA),Ýlksel
2023.06.22,22:46:20,37.8798,29.5840,16.1,-.-,1.3,-.-,ARMUTALANI-BOZKURT,(DENIZLI),Ýlksel
2023.06.22,22:33:37,35.2362,36.5273,7.5,-.-,2.3,-.-,SURIYE,Ýlksel
2023.06.22,22:12:01,38.0990,37.1640,7.7,-.-,1.7,-.-,GUPLUCE-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.22,22:05:23,37.4417,37.0085,5.0,-.-,1.9,-.-,SIVRICEHUYUK-(KAHRAMANMARAS),Ýlksel
2023.06.22,22:00:30,36.6662,36.4112,7.6,-.-,1.7,-.-,BEKTASLI-KIRIKHAN,(HATAY),Ýlksel
2023.06.22,21:43:53,36.1797,36.0252,2.8,-.-,1.3,-.-,YAYLICA-SAMANDAG,(HATAY),Ýlksel
2023.06.22,21:37:01,37.8842,36.2443,15.7,-.-,1.6,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.22,21:17:12,39.0643,40.1015,1.5,-.-,3.1,-.-,AKPINAR-KARAKOCAN,(ELAZIG),Ýlksel
2023.06.22,21:04:55,35.9323,30.8918,9.8,-.-,2.6,-.-,AKDENIZ,Ýlksel
2023.06.22,20:52:22,36.6858,31.1148,7.2,-.-,2.0,-.-,ANTALYA,KORFEZI,(AKDENIZ),Ýlksel
2023.06.22,20:47:29,38.1760,38.6697,24.7,-.-,1.3,-.-,ESENLIK-PUTURGE,(MALATYA),Ýlksel
2023.06.22,20:24:41,38.5242,37.6087,6.4,-.-,1.7,-.-,IRMAKLI-DARENDE,(MALATYA),Ýlksel
2023.06.22,20:17:06,37.9800,36.4248,6.6,-.-,1.7,-.-,TASOLUK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,20:04:26,38.1940,38.5885,8.6,-.-,1.8,-.-,SOGUTLU-PUTURGE,(MALATYA),Ýlksel
2023.06.22,19:40:58,36.0653,27.3005,7.0,-.-,2.2,-.-,AKDENIZ,Ýlksel
2023.06.22,19:25:22,44.4890,37.4895,73.7,-.-,3.6,-.-,RUSYA,Ýlksel
2023.06.22,19:13:06,37.8628,26.9462,7.2,-.-,2.1,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.22,19:05:11,37.8617,26.9328,7.4,-.-,2.1,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.22,19:02:52,37.6018,37.3465,8.8,-.-,1.7,-.-,KARAAGAC-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,18:53:00,39.3918,40.5963,9.0,-.-,1.5,-.-,YESILGOL-YEDISU,(BINGOL),Ýlksel
2023.06.22,18:46:21,37.6478,37.2943,13.2,-.-,1.4,-.-,BOLUKDAMLAR-CAGLAYANCERIT,(KAHRAMANMARAS),Ýlksel
2023.06.22,18:30:38,37.5912,37.2988,7.8,-.-,2.6,-.-,BUYUKNACAR-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,18:26:19,37.9872,30.2278,15.7,-.-,1.9,-.-,AYDOGMUS-KECIBORLU,(ISPARTA),Ýlksel
2023.06.22,18:25:57,38.8987,26.8448,5.4,-.-,1.7,-.-,CANDARLI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.22,18:20:10,37.8477,36.2285,10.3,-.-,1.8,-.-,KARAKUYU-SAIMBEYLI,(ADANA),Ýlksel
2023.06.22,18:11:20,39.2497,26.8922,12.4,-.-,2.4,-.-,DEMIRCIDERE-BERGAMA,(IZMIR),Ýlksel
2023.06.22,17:53:50,38.4908,39.5313,8.4,-.-,1.7,-.-,KIZILTEPE-MADEN,(ELAZIG),Ýlksel
2023.06.22,17:47:58,37.9655,36.1850,1.9,-.-,1.4,-.-,KALEBOYNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,17:27:43,37.6152,37.3343,5.0,-.-,3.3,3.3,KARAAGAC-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,17:13:52,36.1150,29.3292,2.4,-.-,1.7,-.-,KALKAN,ACIKLARI-ANTALYA,(AKDENIZ),Ýlksel
2023.06.22,16:49:17,37.3663,37.0722,5.0,-.-,1.4,-.-,ARSLANBEY-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,16:29:53,38.1113,37.7563,9.6,-.-,1.9,-.-,FINDIKKOY-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.22,16:06:16,38.3437,38.1462,14.4,-.-,2.0,-.-,KUSDOGAN-YESILYURT,(MALATYA),Ýlksel
2023.06.22,15:22:22,38.6242,26.6972,8.5,-.-,2.2,-.-,IZMIR,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.22,15:05:26,38.2242,38.2228,2.3,-.-,2.9,-.-,KADIRUSAGI-YESILYURT,(MALATYA),Ýlksel
2023.06.22,14:52:28,38.1985,38.4293,5.4,-.-,2.1,-.-,UCGOZE-YESILYURT,(MALATYA),Ýlksel
2023.06.22,14:31:15,39.1493,38.2307,3.2,-.-,2.6,-.-,AGACLIGOL-DIVRIGI,(SIVAS),Ýlksel
2023.06.22,14:00:25,38.0395,36.6237,15.6,-.-,1.9,-.-,KALEKOY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,13:56:45,37.1297,36.4993,5.4,-.-,1.7,-.-,YANIKKISLA-HASANBEYLI,(OSMANIYE),Ýlksel
2023.06.22,13:55:19,37.8792,37.6297,10.2,-.-,2.1,-.-,MEYDANKOY-GOLBASI,(ADIYAMAN),Ýlksel
2023.06.22,13:17:59,38.0527,37.5587,5.2,-.-,1.9,-.-,GOVDELI-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.22,13:16:28,38.1508,36.7087,5.8,-.-,1.5,-.-,KARAOMER-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,13:06:14,40.7387,42.7908,5.0,-.-,2.5,-.-,CULLU-GOLE,(ARDAHAN),Ýlksel
2023.06.22,12:41:36,40.7357,42.7912,1.6,-.-,2.5,-.-,CULLU-GOLE,(ARDAHAN),Ýlksel
2023.06.22,12:40:57,40.7238,42.8537,3.0,-.-,2.0,-.-,AKDERE-(KARS),Ýlksel
2023.06.22,12:38:30,39.9217,28.9495,0.0,-.-,1.4,-.-,KUSUMLAR-ORHANELI,(BURSA),Ýlksel
2023.06.22,12:37:08,38.4892,37.4732,3.2,-.-,1.7,-.-,YAVUZLAR-DARENDE,(MALATYA),Ýlksel
2023.06.22,12:13:38,37.2517,36.9518,5.3,-.-,1.8,-.-,INCIRLI-NURDAGI,(GAZIANTEP),Ýlksel
2023.06.22,12:05:46,38.0987,36.6192,8.7,-.-,1.8,-.-,KANLIKAVAK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,11:59:36,38.2503,38.5635,8.1,-.-,2.2,-.-,TANISIK-(MALATYA),Ýlksel
2023.06.22,11:17:41,37.5397,37.1415,5.0,-.-,1.7,-.-,ELMALAR-(KAHRAMANMARAS),Ýlksel
2023.06.22,11:14:02,38.6367,27.9580,5.6,-.-,2.1,-.-,HACIVELILER-GOLMARMARA,(MANISA),Ýlksel
2023.06.22,10:52:51,37.2078,36.9488,5.0,-.-,2.2,-.-,SATIRHUYUK-NURDAGI,(GAZIANTEP),Ýlksel
2023.06.22,10:18:07,38.0635,37.6472,10.2,-.-,1.9,-.-,BEGRE-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.22,09:22:30,38.9213,38.5350,5.0,-.-,1.6,-.-,ESKIARAPKIR-ARAPGIR,(MALATYA),Ýlksel
2023.06.22,09:20:56,37.2865,37.1018,1.5,-.-,1.6,-.-,ORDEKDEDE-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,09:19:27,37.3012,37.0610,5.4,-.-,1.9,-.-,EMIROGLU-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,09:10:16,38.3970,39.4670,5.0,-.-,1.7,-.-,ALTINTARLA-MADEN,(ELAZIG),Ýlksel
2023.06.22,08:59:40,37.1828,36.9705,5.3,-.-,1.9,-.-,SATIRHUYUK-NURDAGI,(GAZIANTEP),Ýlksel
2023.06.22,08:21:02,38.1285,38.4117,8.1,-.-,4.2,4.2,SALKONAK-YESILYURT,(MALATYA),Ýlksel
2023.06.22,08:12:53,36.2897,36.3025,8.5,-.-,2.5,-.-,SUVATLI-(HATAY),Ýlksel
2023.06.22,07:37:18,37.6672,35.6923,8.4,-.-,1.7,-.-,VELICANLI-KOZAN,(ADANA),Ýlksel
2023.06.22,07:25:40,38.5760,33.6635,3.3,-.-,2.4,-.-,ALTINKAYA-(AKSARAY),Ýlksel
2023.06.22,07:07:00,38.1358,37.1790,5.0,-.-,3.1,3.1,GUPLUCE-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.22,06:49:14,38.0248,36.5248,5.0,-.-,3.2,3.1,HACIMIRZA-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,05:42:27,43.9490,33.5007,65.1,-.-,4.5,4.4,KARADENIZ,Ýlksel
2023.06.22,05:16:57,38.6702,39.6445,6.4,-.-,2.1,-.-,UZUNOVA-KOVANCILAR,(ELAZIG),Ýlksel
2023.06.22,05:06:44,37.3118,37.0498,9.5,-.-,3.1,3.1,EMIROGLU-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.22,04:11:45,38.2343,38.6245,6.5,-.-,3.6,3.7,KAVAKLIDERE-PUTURGE,(MALATYA),Ýlksel
2023.06.22,04:01:52,37.1707,30.9225,91.7,-.-,2.4,-.-,HACIOSMANLAR-SERIK,(ANTALYA),Ýlksel
2023.06.22,03:58:43,36.2865,36.2867,9.0,-.-,2.1,-.-,SUVATLI-(HATAY),Ýlksel
2023.06.22,03:24:43,36.2530,36.1323,4.5,-.-,1.4,-.-,EKINCI-(HATAY),Ýlksel
2023.06.22,03:18:00,36.3360,28.0033,57.3,-.-,2.5,-.-,RODOS,ADASI,(AKDENIZ),Ýlksel
2023.06.22,03:15:26,38.1380,38.3693,8.0,-.-,2.1,-.-,SALKONAK-YESILYURT,(MALATYA),Ýlksel
2023.06.22,03:09:29,37.0567,36.1913,8.5,-.-,1.6,-.-,AKYAR-(OSMANIYE),Ýlksel
2023.06.22,02:50:52,38.0897,37.6175,8.6,-.-,1.8,-.-,TAPKIRANKALE-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.22,02:05:14,37.9258,36.2795,5.0,-.-,2.2,-.-,HACIKODAL-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,01:25:17,40.7095,30.4918,7.1,-.-,2.5,-.-,YAZILI-ERENLER,(SAKARYA),Ýlksel
2023.06.22,01:12:10,38.0692,37.3973,5.0,-.-,2.3,-.-,AGCASAR-NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.22,01:05:30,40.3482,28.6170,4.4,-.-,1.6,-.-,CAMLIK-MUDANYA,(BURSA),Ýlksel
2023.06.22,00:47:17,38.3085,37.7387,9.3,-.-,1.7,-.-,CEVIRME-AKCADAG,(MALATYA),Ýlksel
2023.06.22,00:27:43,37.9392,36.2268,4.2,-.-,2.2,-.-,KALEBOYNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.22,00:06:29,37.9570,37.4642,8.7,-.-,1.7,-.-,NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.22,00:01:05,38.5090,39.3362,4.8,-.-,1.4,-.-,GUNEYKOY-SIVRICE,(ELAZIG),Ýlksel
2023.06.22,00:00:14,38.5160,39.3442,2.0,-.-,1.6,-.-,CEVIZDERE-(ELAZIG),Ýlksel
2023.06.21,23:59:27,38.4967,39.2043,4.6,-.-,1.5,-.-,KAVAKTEPE-(ELAZIG),Ýlksel
2023.06.21,23:49:02,38.5768,38.0995,12.6,-.-,2.0,-.-,MISIRDERE-YAZIHAN,(MALATYA),Ýlksel
2023.06.21,23:43:22,39.5250,27.0295,9.9,-.-,2.2,-.-,KIZIKLI-BURHANIYE,(BALIKESIR),Ýlksel
2023.06.21,23:20:19,38.1050,37.3875,3.2,-.-,1.8,-.-,AGCASAR-NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.21,23:01:57,38.1002,38.0878,5.0,-.-,2.4,-.-,YALINKAYA-YESILYURT,(MALATYA),Ýlksel
2023.06.21,22:59:41,37.6928,28.9895,4.8,-.-,1.4,-.-,VAKIF-TAVAS,(DENIZLI),Ýlksel
2023.06.21,22:55:53,38.1147,36.7247,5.3,-.-,1.2,-.-,KARAOMER-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,22:45:15,37.9902,36.4428,22.7,-.-,1.2,-.-,YIRICEK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,22:38:03,38.0410,37.3827,5.9,-.-,2.4,-.-,AGCASAR-NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.21,22:20:03,37.8792,36.2555,7.9,-.-,1.4,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,21:26:26,38.4407,36.6358,5.0,-.-,2.4,-.-,DALLIKAVAK-SARIZ,(KAYSERI),Ýlksel
2023.06.21,21:20:31,37.9608,36.5407,8.1,-.-,1.9,-.-,KURUCAOVA-(KAHRAMANMARAS),Ýlksel
2023.06.21,21:08:22,38.1022,36.7607,4.5,-.-,2.4,-.-,KORKMAZ-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,21:00:52,38.4003,37.2730,1.5,-.-,1.5,-.-,GOKCEK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,20:40:59,36.3133,36.1937,5.2,-.-,3.0,-.-,ANAYAZI-(HATAY),Ýlksel
2023.06.21,20:32:01,38.4680,39.1103,5.7,-.-,1.9,-.-,DEREBOYNU-SIVRICE,(ELAZIG),Ýlksel
2023.06.21,20:26:09,38.3488,38.1978,15.6,-.-,2.0,-.-,DURULDU-(MALATYA),Ýlksel
2023.06.21,19:56:20,37.6683,35.3857,5.4,-.-,1.8,-.-,YETIMLI-ALADAG,(ADANA),Ýlksel
2023.06.21,19:55:17,36.2923,36.0415,23.0,-.-,1.5,-.-,KARLISU-(HATAY),Ýlksel
2023.06.21,19:49:05,38.3765,37.1873,2.3,-.-,1.7,-.-,HACIHASANLI-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,19:46:55,37.7812,36.0415,5.0,-.-,1.2,-.-,AKOLUK-FEKE,(ADANA),Ýlksel
2023.06.21,19:35:37,37.9152,36.2348,4.9,-.-,1.7,-.-,AKSAAGAC-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,19:24:51,38.7888,37.3600,5.0,-.-,1.8,-.-,SULARBASI-GURUN,(SIVAS),Ýlksel
2023.06.21,19:13:20,36.9588,36.4180,17.2,-.-,1.3,-.-,KULLU-(OSMANIYE),Ýlksel
2023.06.21,18:58:53,36.4300,36.2772,25.3,-.-,1.6,-.-,TOPBOGAZI-KIRIKHAN,(HATAY),Ýlksel
2023.06.21,18:50:38,38.2978,36.5720,7.6,-.-,2.7,-.-,DAYOLUK-SARIZ,(KAYSERI),Ýlksel
2023.06.21,18:46:44,40.2678,29.5963,3.5,-.-,1.8,-.-,KARAKOY-YENISEHIR,(BURSA),Ýlksel
2023.06.21,18:43:45,38.2852,37.2697,8.5,-.-,1.4,-.-,KUCUKYAPALAK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,18:40:39,38.4935,36.6395,8.4,-.-,1.8,-.-,BUYUKSOBECIMEN-SARIZ,(KAYSERI),Ýlksel
2023.06.21,18:37:22,40.2868,29.5892,3.7,-.-,2.5,-.-,KARAKOY-YENISEHIR,(BURSA),Ýlksel
2023.06.21,18:35:13,36.3200,36.3525,20.2,-.-,1.6,-.-,KURTULUS-REYHANLI,(HATAY),Ýlksel
2023.06.21,18:28:29,38.1920,37.5282,5.0,-.-,1.7,-.-,KANGAL-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,18:23:27,37.9603,36.5027,5.6,-.-,1.9,-.-,GOLPINAR-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,18:18:15,38.1535,37.0433,5.4,-.-,2.0,-.-,ORTAKLI-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.21,18:07:50,38.9593,32.8473,4.8,-.-,1.9,-.-,CELEP-KULU,(KONYA),Ýlksel
2023.06.21,17:58:49,36.6965,33.3518,9.3,-.-,1.6,-.-,KADIKOY-MUT,(MERSIN),Ýlksel
2023.06.21,17:45:57,37.3943,36.8927,5.0,-.-,2.0,-.-,GOLLUHUYUK-TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.21,17:41:31,40.3237,35.4963,5.0,-.-,1.8,-.-,ILISU-GOYNUCEK,(AMASYA),Ýlksel
2023.06.21,17:29:52,38.0445,36.6252,8.7,-.-,2.3,2.1,KALEKOY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,17:26:55,38.2228,38.2258,5.0,-.-,1.5,-.-,KADIRUSAGI-YESILYURT,(MALATYA),Ýlksel
2023.06.21,17:03:47,35.9552,29.2125,1.2,-.-,1.9,-.-,AKDENIZ,Ýlksel
2023.06.21,17:02:59,38.3347,37.3145,5.0,-.-,1.9,-.-,BUYUKYAPALAK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,16:53:07,38.1960,38.5390,5.3,-.-,2.3,-.-,ULUKOY-(MALATYA),Ýlksel
2023.06.21,16:46:47,38.0437,36.8965,5.4,-.-,2.1,-.-,ERICEK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,16:43:41,37.3175,37.0312,5.4,-.-,2.3,-.-,CENNETPINARI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.21,16:04:07,37.0760,28.4547,8.8,-.-,1.6,-.-,ELMALI-ULA,(MUGLA),Ýlksel
2023.06.21,16:02:06,38.8493,37.5083,17.9,-.-,1.3,-.-,ESKIHAMAL-GURUN,(SIVAS),Ýlksel
2023.06.21,15:52:59,38.4800,39.3370,5.0,-.-,2.2,-.-,GUNEYKOY-SIVRICE,(ELAZIG),Ýlksel
2023.06.21,15:49:33,37.5833,36.1088,3.2,-.-,2.0,-.-,YESILYAYLA-SUMBAS,(OSMANIYE),Ýlksel
2023.06.21,14:44:38,37.8858,37.7038,19.6,-.-,1.7,-.-,KARABAHSILI-GOLBASI,(ADIYAMAN),Ýlksel
2023.06.21,13:29:02,38.0967,36.9178,28.2,-.-,2.4,-.-,KEMALPASA-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,13:25:42,38.3618,37.7473,5.0,-.-,1.4,-.-,DEMIRCILER-AKCADAG,(MALATYA),Ýlksel
2023.06.21,13:20:05,36.1083,33.5643,0.0,-.-,1.6,-.-,BUYUKECELI-GULNAR,(MERSIN),Ýlksel
2023.06.21,13:05:58,37.7858,37.5538,20.6,-.-,1.8,-.-,HACILAR-GOLBASI,(ADIYAMAN),Ýlksel
2023.06.21,12:59:48,36.2887,36.3393,2.3,-.-,1.6,-.-,SACAKLI-(HATAY),Ýlksel
2023.06.21,12:45:44,37.1738,37.1920,0.0,-.-,1.8,-.-,DURNALIK-SEHITKAMIL,(GAZIANTEP),Ýlksel
2023.06.21,12:36:38,37.9647,36.1950,8.2,-.-,1.6,-.-,KALEBOYNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,12:28:59,34.9165,23.4198,4.2,-.-,2.5,-.-,GIRIT,ADASI,(AKDENIZ),Ýlksel
2023.06.21,12:24:27,37.1698,37.0123,4.2,-.-,3.2,3.0,ATALAR-SEHITKAMIL,(GAZIANTEP),Ýlksel
2023.06.21,12:03:59,37.8893,36.2507,29.0,-.-,1.3,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,12:01:17,40.3820,31.1665,2.4,-.-,1.7,-.-,KURTLAR-MUDURNU,(BOLU),Ýlksel
2023.06.21,11:57:21,38.4960,37.2828,10.8,-.-,1.7,-.-,YENIKOY-DARENDE,(MALATYA),Ýlksel
2023.06.21,10:20:55,38.4813,37.4918,6.4,-.-,2.4,-.-,YAVUZLAR-DARENDE,(MALATYA),Ýlksel
2023.06.21,10:09:46,38.0885,36.4983,22.5,-.-,1.8,-.-,ALICLIBUCAK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,10:01:25,36.2293,36.0963,2.6,-.-,1.5,-.-,BALLIOZ-(HATAY),Ýlksel
2023.06.21,09:41:41,37.9423,36.5575,24.2,-.-,1.7,-.-,KURUCAOVA-(KAHRAMANMARAS),Ýlksel
2023.06.21,09:32:53,38.0960,36.4825,9.5,-.-,1.6,-.-,MEHMETBEY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,09:25:09,38.4020,34.1698,12.5,-.-,1.1,-.-,GOKCE-(AKSARAY),Ýlksel
2023.06.21,09:16:29,37.2000,36.9858,5.8,-.-,2.3,-.-,SATIRHUYUK-NURDAGI,(GAZIANTEP),Ýlksel
2023.06.21,09:12:35,36.9072,37.1140,11.8,-.-,2.0,-.-,KARAKIL-POLATELI,(KILIS),Ýlksel
2023.06.21,09:06:00,36.0275,36.0952,5.0,-.-,3.1,3.0,SURUTME-YAYLADAGI,(HATAY),Ýlksel
2023.06.21,08:39:59,37.9033,36.4505,12.2,-.-,1.8,-.-,DEGIRMENDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,08:25:51,37.3023,36.7973,3.8,-.-,2.4,-.-,BEYOGLU-TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.21,07:56:12,36.0502,36.1578,5.5,-.-,1.6,-.-,SENKOY-(HATAY),Ýlksel
2023.06.21,07:52:09,36.0457,36.0945,5.5,-.-,1.6,-.-,DAGDUZU-(HATAY),Ýlksel
2023.06.21,07:25:50,37.1573,29.1675,2.9,-.-,2.1,-.-,HISAR-ACIPAYAM,(DENIZLI),Ýlksel
2023.06.21,07:23:26,38.0012,36.2185,5.4,-.-,1.7,-.-,YENIKOY-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,07:17:17,37.0790,27.9438,14.5,-.-,1.4,-.-,HUSAMLAR-MILAS,(MUGLA),Ýlksel
2023.06.21,07:06:24,37.8708,36.2637,7.9,-.-,1.5,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,07:04:42,37.9745,36.1977,17.8,-.-,1.4,-.-,KALEBOYNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,06:48:03,38.3382,27.1983,8.2,-.-,1.6,-.-,ZAFER-BUCA,(IZMIR),Ýlksel
2023.06.21,06:47:00,37.1528,29.1182,8.6,-.-,2.5,-.-,KARAISMAILLER-ACIPAYAM,(DENIZLI),Ýlksel
2023.06.21,06:40:47,38.0623,38.0857,16.6,-.-,2.1,-.-,YALINKAYA-YESILYURT,(MALATYA),Ýlksel
2023.06.21,06:40:31,37.4100,37.1085,4.3,-.-,2.1,-.-,DENIZLI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.21,06:39:55,38.3970,37.8712,6.6,-.-,2.0,-.-,SARIHACI-AKCADAG,(MALATYA),Ýlksel
2023.06.21,06:17:31,37.9118,36.4398,12.6,-.-,1.7,-.-,FINDIKLIKOYAK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,06:07:38,38.5613,40.4223,2.1,-.-,1.6,-.-,YELKAYA-GENC,(BINGOL),Ýlksel
2023.06.21,05:48:57,38.0452,36.2345,1.7,-.-,1.5,-.-,YENIKOY-SAIMBEYLI,(ADANA),Ýlksel
2023.06.21,05:25:00,37.8347,36.5687,8.2,-.-,1.5,-.-,CUKURHISAR-(KAHRAMANMARAS),Ýlksel
2023.06.21,05:08:43,38.3173,38.6490,1.7,-.-,2.3,-.-,ALHANUSAGI-(MALATYA),Ýlksel
2023.06.21,05:03:53,38.5123,37.4848,5.8,-.-,1.2,-.-,KARAOGUZ-DARENDE,(MALATYA),Ýlksel
2023.06.21,04:50:13,37.9803,36.3113,2.4,-.-,2.6,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
