Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.24,14:27:48,38.2840,37.7302,7.5,-.-,3.5,-.-,CEVIRME-AKCADAG,(MALATYA),Ýlksel
2023.06.24,14:20:08,37.9112,36.2650,5.0,-.-,3.7,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.24,14:11:00,38.0812,36.4525,11.1,-.-,2.1,-.-,MEHMETBEY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,14:03:21,37.9283,36.2295,14.8,-.-,2.0,-.-,AKSAAGAC-SAIMBEYLI,(ADANA),Ýlksel
2023.06.24,13:53:26,37.6770,35.5595,6.8,-.-,2.2,-.-,ISIKKAYA-KOZAN,(ADANA),Ýlksel
2023.06.24,13:52:29,37.7658,36.3560,10.5,-.-,1.5,-.-,COKAK-ANDIRIN,(KAHRAMANMARAS),Ýlksel
2023.06.24,13:42:44,38.4157,37.4875,7.7,-.-,2.3,-.-,SUGUL-DARENDE,(MALATYA),Ýlksel
2023.06.24,13:18:52,38.3137,37.7662,17.0,-.-,1.4,-.-,DUTLU-AKCADAG,(MALATYA),Ýlksel
2023.06.24,13:16:35,37.4095,36.8972,3.1,-.-,1.6,-.-,KILILI-TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.24,12:54:04,36.3923,27.1763,4.3,-.-,1.8,-.-,ONIKI,ADALAR,(AKDENIZ),Ýlksel
2023.06.24,12:47:27,37.1015,27.9620,0.0,-.-,1.7,-.-,PINARKOY-MILAS,(MUGLA),Ýlksel
2023.06.24,12:45:27,38.0797,37.1765,5.9,-.-,2.4,-.-,EKINOZU,(KAHRAMANMARAS),Ýlksel
2023.06.24,12:37:01,39.8725,28.8095,0.0,-.-,1.5,-.-,YENIDANISMENT-ORHANELI,(BURSA),Ýlksel
2023.06.24,12:37:00,39.4793,33.6033,6.2,-.-,1.4,-.-,ASAGISEYH-KESKIN,(KIRIKKALE),REVIZE01,(2023.06.24,12:37:01)
2023.06.24,12:10:51,37.9327,36.2633,13.0,-.-,1.8,-.-,HACIKODAL-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,12:04:44,37.9177,38.6102,8.1,-.-,2.2,-.-,BURMAPINAR-KAHTA,(ADIYAMAN),Ýlksel
2023.06.24,11:53:51,38.2442,37.6803,13.1,-.-,1.9,-.-,HARUNUSAGI-AKCADAG,(MALATYA),Ýlksel
2023.06.24,11:48:02,37.8642,26.9495,5.5,-.-,1.5,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.24,11:01:55,36.5167,36.2997,10.9,-.-,1.8,-.-,ARKITCA-KIRIKHAN,(HATAY),Ýlksel
2023.06.24,10:53:28,38.2992,37.8468,8.6,-.-,2.2,-.-,HANCERLI-AKCADAG,(MALATYA),Ýlksel
2023.06.24,10:39:33,40.0552,42.0123,5.0,-.-,1.9,-.-,KIRKDIKME-HORASAN,(ERZURUM),Ýlksel
2023.06.24,09:59:27,38.3037,37.2565,5.0,-.-,1.4,-.-,BUYUKYAPALAK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.24,09:54:34,38.3425,36.5193,2.7,-.-,1.6,-.-,ORDEKLI-SARIZ,(KAYSERI),Ýlksel
2023.06.24,09:48:29,38.0802,36.2623,18.7,-.-,1.7,-.-,KIRAZLIYURT-TUFANBEYLI,(ADANA),Ýlksel
2023.06.24,09:34:53,37.9578,36.3350,1.4,-.-,2.2,-.-,SIRMALI-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,09:30:59,37.9685,36.3580,5.3,-.-,1.7,-.-,SIRMALI-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,09:23:01,34.5335,26.2897,29.1,-.-,3.3,-.-,GIRIT,ADASI,ACIKLARI,(AKDENIZ),Ýlksel
2023.06.24,09:20:20,38.7558,39.4762,5.0,-.-,1.8,-.-,YESILDERE-KOVANCILAR,(ELAZIG),Ýlksel
2023.06.24,09:02:16,36.2967,35.9978,8.4,-.-,1.5,-.-,CEYLANDERE-SAMANDAG,(HATAY),Ýlksel
2023.06.24,08:27:23,38.2920,37.0358,29.5,-.-,1.6,-.-,KUSKAYASI-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.24,07:53:03,37.8977,36.2920,3.2,-.-,2.3,-.-,PAYAMBURNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,07:47:45,36.6508,36.1982,3.6,-.-,1.8,-.-,DENIZCILER-ISKENDERUN,(HATAY),Ýlksel
2023.06.24,07:44:16,36.0360,35.9252,6.4,-.-,2.4,-.-,MEYDAN-SAMANDAG,(HATAY),Ýlksel
2023.06.24,07:42:34,40.9782,30.5942,4.7,-.-,1.5,-.-,LIMANDERE-KARASU,(SAKARYA),Ýlksel
2023.06.24,07:15:26,37.4240,36.9938,5.0,-.-,1.8,-.-,SIVRICEHUYUK-(KAHRAMANMARAS),Ýlksel
2023.06.24,07:12:22,38.1207,36.5710,9.2,-.-,1.5,-.-,CAMDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,07:09:08,38.3627,37.8072,10.9,-.-,1.9,-.-,DURULOVA-AKCADAG,(MALATYA),Ýlksel
2023.06.24,07:08:33,38.7608,37.4870,12.6,-.-,1.6,-.-,AYVALI-GURUN,(SIVAS),Ýlksel
2023.06.24,06:18:42,37.9787,36.3493,24.0,-.-,1.9,-.-,HUGTAS-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,06:16:53,38.7628,39.5378,6.8,-.-,2.3,-.-,CATAKSU-PERTEK,(TUNCELI),Ýlksel
2023.06.24,06:06:30,36.7383,36.0468,8.6,-.-,1.5,-.-,ISKENDERUN,KORFEZI,(AKDENIZ),Ýlksel
